"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"255",102,"V5","L’Incendie (Spot).wav",5.49553571428571,3.30803571428571,4.69642857142857,4.20982142857142
"256",103,"V6","Fireplace Full.wav",1.00892857142857,2.92857142857142,6.82142857142857,4
"257",103,"V6","Healing Water Full.wav",2.01339285714285,5.92410714285714,6.92410714285714,6.12946428571428
"258",103,"V6","Aircraft Cabin Full.wav",1,2.91517857142857,5.11160714285714,3.62053571428571
"259",105,"V2","Radetzky March (Spot).wav",6.021484375,7,7,7
"260",105,"V2","Tritsch-Tratsch (Spot).wav",6.0166015625,7,4.99609375,6.0458984375
"261",105,"V2","Piano Sonata No. 11 (Spot).wav",5.9873046875,6.01171875,7,7
"262",106,"V3","Four Seasons Summer (Spot).wav",6.1630859375,5.0498046875,5.9921875,6.0166015625
"263",106,"V3","Moonlight Sonata (Spot).wav",5.0791015625,2.916015625,6.880859375,6.978515625
"264",106,"V3","Night on Bare Mountain (Spot).wav",5.93359375,5.0791015625,7,5.9970703125
"265",107,"V4","Unt Donner Unt Blitz (Spot).wav",5.982421875,5.0009765625,6.94921875,6.0263671875
"266",107,"V4","Gypsy Baron (Spot).wav",6.998046875,6.0703125,4.0634765625,4.9765625
"267",107,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",7,5.015625,5.005859375,5.044921875
"268",108,"V5","L’Incendie (Spot).wav",6.9833984375,4.99609375,2.0029296875,1
"269",108,"V5","String Quartet No. 8 (Spot).wav",6.9931640625,2.0029296875,1.01171875,1.001953125
